,DATE,COE$,COE$_1,#Bids,Quota,Open?
0,1990-08-01,7400.0,7750.0,656,472,0
1,1990-09-01,11100.0,7400.0,1462,468,0
2,1990-10-01,5002.0,11100.0,633,472,0
3,1990-11-01,3170.0,5002.0,952,511,0
4,1990-12-01,3410.0,3170.0,919,471,0
5,1991-01-01,2508.0,3410.0,736,467,0
6,1991-02-01,998.0,2508.0,680,470,0
7,1991-03-01,1638.0,998.0,1184,468,0
8,1991-04-01,6062.0,1638.0,1971,480,0
9,1991-05-01,9012.0,6062.0,1387,497,0
10,1991-06-01,11171.0,9012.0,1296,489,0
11,1991-07-01,12368.0,11171.0,969,479,0
12,1991-08-01,12488.0,12368.0,722,478,0
13,1991-09-01,12222.0,12488.0,1044,476,0
14,1991-10-01,14337.0,12222.0,902,486,0
15,1991-11-01,16738.0,14337.0,990,486,0
16,1991-12-01,18080.0,16738.0,1086,611,0
17,1992-01-01,18104.0,18080.0,686,517,0
18,1992-02-01,18587.0,18104.0,1217,478,0
19,1992-03-01,20288.0,18587.0,1328,486,0
20,1992-04-01,25002.0,20288.0,1136,518,0
21,1992-05-01,31888.0,25002.0,1194,607,0
22,1992-06-01,23870.0,31888.0,988,504,0
23,1992-07-01,24018.0,23870.0,855,508,0
24,1992-08-01,25060.0,24018.0,915,513,0
25,1992-09-01,26014.0,25060.0,881,496,0
26,1992-10-01,26984.0,26014.0,1026,500,0
27,1992-11-01,22890.0,26984.0,2656,1141,0
28,1992-12-01,20018.0,22890.0,1921,1149,0
29,1993-01-01,16100.0,20018.0,2114,1201,0
30,1993-02-01,16650.0,16100.0,2361,1139,0
31,1993-03-01,22820.0,16650.0,2382,899,0
32,1993-04-01,28420.0,22820.0,2384,943,0
33,1993-05-01,26700.0,28420.0,1817,919,0
34,1993-06-01,27510.0,26700.0,1681,914,0
35,1993-07-01,28826.0,27510.0,1812,915,0
36,1993-08-01,30360.0,28826.0,1998,968,0
37,1993-09-01,32960.0,30360.0,1960,912,0
38,1993-10-01,37700.0,32960.0,2250,914,0
39,1993-11-01,47808.0,37700.0,1793,654,0
40,1993-12-01,63798.0,47808.0,2319,657,0
41,1994-01-01,65996.0,63798.0,1558,659,0
42,1994-02-01,52440.0,65996.0,1149,653,0
43,1994-03-01,52896.0,52440.0,1272,653,0
44,1994-04-01,57760.0,52896.0,1394,634,0
45,1994-05-01,62400.0,57760.0,1129,640,0
46,1994-06-01,65590.0,62400.0,967,647,0
47,1994-07-01,72992.0,65590.0,1267,621,0
48,1994-08-01,83800.0,72992.0,1122,640,0
49,1994-09-01,94008.0,83800.0,1306,621,0
50,1994-10-01,105000.0,94008.0,887,660,0
51,1994-11-01,95986.0,105000.0,832,624,0
52,1994-12-01,69000.0,95986.0,672,617,0
53,1995-01-01,39500.0,69000.0,965,616,0
54,1995-02-01,45002.0,39500.0,1985,641,0
55,1995-03-01,43888.0,45002.0,995,636,0
56,1995-04-01,63000.0,43888.0,2020,538,0
57,1995-05-01,78098.0,63000.0,1380,545,0
58,1995-06-01,68008.0,78098.0,1237,554,0
59,1995-07-01,60188.0,68008.0,1408,538,0
60,1995-08-01,55002.0,60188.0,1119,545,0
61,1995-09-01,60200.0,55002.0,1200,548,0
62,1995-10-01,65098.0,60200.0,1110,541,0
63,1995-11-01,53100.0,65098.0,832,537,0
64,1995-12-01,55002.0,53100.0,972,536,0
65,1996-01-01,44700.0,55002.0,888,537,0
66,1996-02-01,49708.0,44700.0,1077,539,0
67,1996-03-01,46099.98944,49708.0,945,537,0
68,1996-04-01,47687.99652,46099.98944,802,432,0
69,1996-05-01,49890.00694,47687.99652,963,432,0
70,1996-06-01,48002.00213,49890.00694,899,434,0
71,1996-07-01,44037.99223,48002.00213,759,434,0
72,1996-08-01,45008.02112,44037.99223,910,431,0
73,1996-09-01,46888.0,45008.02112,1077,432,0
74,1996-10-01,48178.0,46888.0,1083,450,0
75,1996-11-01,55690.0,48178.0,1359,430,0
76,1996-12-01,61600.0,55690.0,1032,433,0
77,1997-01-01,60002.0,61600.0,868,430,0
78,1997-02-01,60810.0,60002.0,1193,439,0
79,1997-03-01,60900.0,60810.0,982,430,0
80,1997-04-01,65488.0,60900.0,1099,415,0
81,1997-05-01,68902.0,65488.0,925,412,0
82,1997-06-01,73502.0,68902.0,999,415,0
83,1997-07-01,74002.0,73502.0,989,420,0
84,1997-08-01,75002.0,74002.0,1022,418,0
85,1997-09-01,74100.0,75002.0,846,416,0
86,1997-10-01,74150.0,74100.0,897,411,0
87,1997-11-01,61504.0,74150.0,636,411,0
88,1997-12-01,39500.0,61504.0,626,411,0
89,1998-01-01,35688.0,39500.0,2343,411,0
90,1998-02-01,28900.0,35688.0,2245,412,0
91,1998-03-01,31224.0,28900.0,2139,420,0
92,1998-04-01,38000.0,31224.0,1937,582,0
93,1998-05-01,40502.0,38000.0,1555,600,0
94,1998-06-01,42002.0,40502.0,1601,583,0
95,1998-07-01,28888.0,42002.0,1587,598,0
96,1998-08-01,26250.0,28888.0,2436,581,0
97,1998-09-01,23896.0,26250.0,2313,581,0
98,1998-10-01,24999.0,23896.0,2059,591,0
99,1998-11-01,31808.0,24999.0,2301,591,0
100,1998-12-01,36903.0,31808.0,1747,583,0
101,1999-01-01,37010.0,36903.0,1440,582,0
102,1999-02-01,30999.0,37010.0,1380,586,0
103,1999-03-01,34900.0,30999.0,1777,587,0
104,1999-04-01,35890.0,34900.0,2618,1007,0
105,1999-05-01,43650.0,35890.0,2672,1004,0
106,1999-06-01,53001.0,43650.0,2189,1002,0
107,1999-07-01,51200.0,53001.0,2149,1006,0
108,1999-08-01,46800.0,51200.0,2001,1000,0
109,1999-09-01,43888.0,46800.0,1933,1000,0
110,1999-10-01,42100.0,43888.0,2146,1009,0
111,1999-11-01,43999.0,42100.0,2050,1001,0
112,1999-12-01,48800.0,43999.0,2224,1005,0
113,2000-01-01,51120.0,48800.0,2042,1000,0
114,2000-02-01,48008.0,51120.0,2024,1000,0
115,2000-03-01,48568.0,48008.0,1894,1005,0
116,2000-04-01,37530.0,48568.0,3847,1855,0
117,2000-05-01,34590.0,37530.0,3090,1865,0
118,2000-06-01,35008.0,34590.0,3537,1855,0
119,2000-07-01,34738.0,35008.0,3698,1863,0
120,2000-08-01,33994.0,34738.0,3116,1855,0
121,2000-09-01,37506.0,33994.0,3734,1859,0
122,2000-10-01,38880.0,37506.0,3161,1878,0
123,2000-11-01,33410.0,38880.0,3258,1857,0
124,2000-12-01,30712.0,33410.0,3383,1865,0
125,2001-01-01,23200.0,30712.0,2967,1867,0
126,2001-02-01,29802.0,23200.0,4152,1854,0
127,2001-03-01,33880.0,29802.0,3651,1857,0
128,2001-04-01,31508.0,33880.0,3701,1340,0
129,2001-05-01,27048.0,31508.0,3762,1342,0
130,2001-06-01,27100.0,27048.0,3676,671,0
131,2001-07-01,28471.0,27100.0,3294,671,1
132,2001-07-15,27500.0,28471.0,3240,682,0
133,2001-08-01,27445.0,27500.0,1819,670,1
134,2001-08-15,26702.0,27445.0,2799,672,0
135,2001-09-01,27889.0,26702.0,1650,686,1
136,2001-09-15,29110.0,27889.0,2622,672,0
137,2001-10-01,28999.0,29110.0,1337,684,1
138,2001-10-15,25999.0,28999.0,2070,685,0
139,2001-11-01,26599.0,25999.0,1622,699,1
140,2001-11-15,28001.0,26599.0,2991,671,0
141,2001-12-01,31721.0,28001.0,1347,673,1
142,2001-12-15,31878.0,31721.0,2893,848,0
143,2002-01-01,31001.0,31878.0,1365,806,1
144,2002-01-15,30188.0,31001.0,2318,810,0
145,2002-02-01,31999.0,30188.0,1331,833,1
146,2002-02-15,30688.0,31999.0,2511,805,0
147,2002-03-01,30689.0,30688.0,1391,813,1
148,2002-03-15,31438.0,30689.0,2255,805,0
149,2002-04-01,34501.0,31438.0,1594,817,1
150,2002-04-15,41001.0,34501.0,1797,682,1
151,2002-05-01,42043.0,41001.0,1407,754,1
152,2002-05-15,40001.0,42043.0,1880,960,1
153,2002-06-01,38399.0,40001.0,1835,910,1
154,2002-06-15,34397.0,38399.0,1777,939,1
155,2002-07-01,32511.0,34397.0,1825,942,1
156,2002-07-15,32356.0,32511.0,1549,910,1
157,2002-08-01,30501.0,32356.0,1242,910,1
158,2002-08-15,31899.0,30501.0,1370,916,1
159,2002-09-01,32001.0,31899.0,1386,914,1
160,2002-09-15,31493.0,32001.0,1321,926,1
161,2002-10-01,29499.0,31493.0,1438,936,1
162,2002-10-15,30989.0,29499.0,1501,917,1
163,2002-11-01,30801.0,30989.0,1377,910,1
164,2002-11-15,27999.0,30801.0,1663,1097,1
165,2002-12-01,28005.0,27999.0,1445,1095,1
166,2002-12-15,28487.0,28005.0,1477,1105,1
167,2003-01-01,27119.0,28487.0,1501,1091,1
168,2003-01-15,29001.0,27119.0,1645,1094,1
169,2003-02-01,27416.0,29001.0,1515,1099,1
170,2003-02-15,33901.0,27416.0,1906,1090,1
171,2003-03-01,30100.0,33901.0,1517,1090,1
172,2003-03-15,27000.0,30100.0,1523,1090,1
173,2003-04-01,25501.0,27000.0,1676,1096,1
174,2003-04-15,27501.0,25501.0,1535,946,1
175,2003-05-01,28109.0,27501.0,1471,898,1
176,2003-05-15,29538.0,28109.0,1320,891,1
177,2003-06-01,31800.0,29538.0,1478,888,1
178,2003-06-15,32597.0,31800.0,1417,887,1
179,2003-07-01,32000.0,32597.0,1328,890,1
180,2003-07-15,32799.0,32000.0,1379,898,1
181,2003-08-01,32593.0,32799.0,1337,898,1
182,2003-08-15,31889.0,32593.0,1401,892,1
183,2003-09-01,30099.0,31889.0,1312,894,1
184,2003-09-15,29000.0,30099.0,1358,891,1
185,2003-10-01,30589.0,29000.0,1345,889,1
186,2003-10-15,28997.0,30589.0,1594,1167,1
187,2003-11-01,27900.0,28997.0,1551,1154,1
188,2003-11-15,26700.0,27900.0,1690,1172,1
189,2003-12-01,26999.0,26700.0,1495,1155,1
190,2003-12-15,25299.0,26999.0,1508,1164,1
191,2004-01-01,24502.0,25299.0,1789,1356,1
192,2004-01-15,24019.0,24502.0,1655,1162,1
193,2004-02-01,22801.0,24019.0,1724,1152,1
194,2004-02-15,24016.0,22801.0,1678,1170,1
195,2004-03-01,23801.0,24016.0,1402,1154,1
196,2004-03-15,25492.0,23801.0,1615,1159,1
197,2004-04-01,26401.0,25492.0,1481,1156,1
198,2004-04-15,28339.0,26401.0,1500,1039,1
199,2004-05-01,28108.0,28339.0,1439,1048,1
200,2004-05-15,28000.0,28108.0,1372,1037,1
201,2004-06-01,28101.0,28000.0,1489,1032,1
202,2004-06-15,30301.0,28101.0,1473,1032,1
203,2004-07-01,29999.0,30301.0,1585,1030,1
204,2004-07-15,28499.0,29999.0,1411,1041,1
205,2004-08-01,27792.0,28499.0,1436,1111,1
206,2004-08-15,27295.0,27792.0,1365,1038,1
207,2004-09-01,26401.0,27295.0,1378,1034,1
208,2004-09-15,27500.0,26401.0,1580,1031,1
209,2004-10-01,26199.0,27500.0,1300,1029,1
210,2004-10-15,22000.0,26199.0,2199,1340,1
211,2004-11-01,23369.0,22000.0,1858,1381,1
212,2004-11-15,21798.0,23369.0,1835,1359,1
213,2004-12-01,21999.0,21798.0,1784,1336,1
214,2004-12-15,22809.0,21999.0,1698,1342,1
215,2005-01-01,21298.0,22809.0,1766,1366,1
216,2005-01-15,19295.0,21298.0,1725,1336,1
217,2005-02-01,19002.0,19295.0,1890,1338,1
218,2005-02-15,17300.0,19002.0,1809,1337,1
219,2005-03-01,17999.0,17300.0,2168,1372,1
220,2005-03-15,21999.0,17999.0,1961,1338,1
221,2005-04-01,19001.0,21999.0,1799,1359,1
222,2005-04-15,18802.0,19001.0,1792,1140,1
223,2005-05-01,18000.0,18802.0,1694,1160,1
224,2005-05-15,17699.0,18000.0,1719,1138,1
225,2005-06-01,17399.0,17699.0,1695,1150,1
226,2005-06-15,18200.0,17399.0,1654,1151,1
227,2005-07-01,17999.0,18200.0,1538,1152,1
228,2005-07-15,17199.0,17999.0,1534,1155,1
229,2005-08-01,17199.0,17199.0,1561,1119,1
230,2005-08-15,16999.0,17199.0,1653,1154,1
231,2005-09-01,16296.0,16999.0,1575,1199,1
232,2005-09-15,16699.0,16296.0,1558,1155,1
233,2005-10-01,15699.0,16699.0,1433,1139,1
234,2005-10-15,12000.0,15699.0,1706,1417,1
235,2005-11-01,14503.0,12000.0,2115,1441,1
236,2005-11-15,14801.0,14503.0,1905,1460,1
237,2005-12-01,14505.0,14801.0,2002,1408,1
238,2005-12-15,14200.0,14505.0,2112,1414,1
239,2006-01-01,13302.0,14200.0,1927,1394,1
240,2006-01-15,11701.0,13302.0,1859,1403,1
241,2006-02-01,9801.0,11701.0,1655,1402,1
242,2006-02-15,9275.0,9801.0,1785,1397,1
243,2006-03-01,10400.0,9275.0,2080,1397,1
244,2006-03-15,12697.0,10400.0,2102,1395,1
245,2006-04-01,13689.0,12697.0,2000,1395,1
246,2006-04-15,13301.0,13689.0,1657,1119,1
247,2006-05-01,13000.0,13301.0,1514,1112,1
248,2006-05-15,12402.0,13000.0,1475,1118,1
249,2006-06-01,11717.0,12402.0,1570,1176,1
250,2006-06-15,12000.0,11717.0,1933,1119,1
251,2006-07-01,11002.0,12000.0,1716,1111,1
252,2006-07-15,10803.0,11002.0,1678,1147,1
253,2006-08-01,11101.0,10803.0,1718,1127,1
254,2006-08-15,12699.0,11101.0,1669,1116,1
255,2006-09-01,13605.0,12699.0,1889,1112,1
256,2006-09-15,15200.0,13605.0,1911,1113,1
257,2006-10-01,14900.0,15200.0,1871,1115,1
258,2006-10-15,13000.0,14900.0,2056,1370,1
259,2006-11-01,12605.0,13000.0,1976,1295,1
260,2006-11-15,14156.0,12605.0,2122,1360,1
261,2006-12-01,14501.0,14156.0,1981,1287,1
262,2006-12-15,14669.0,14501.0,1991,1283,1
263,2007-01-01,13499.0,14669.0,1708,1290,1
264,2007-01-15,13301.0,13499.0,1863,1304,1
265,2007-01-15,999999.0,999999.0,999999,999999,1
266,2007-01-15,999998.0,999998.0,999998,999998,1
