,3,3,3,3,3
0,141.7,92.8,116.7,104.3,96.7
1,139.2,141.7,92.8,116.7,104.3
2,158.0,139.2,141.7,92.8,116.7
3,110.5,158.0,139.2,141.7,92.8
4,126.5,110.5,158.0,139.2,141.7
5,125.8,126.5,110.5,158.0,139.2
6,264.3,125.8,126.5,110.5,158.0
7,142.0,264.3,125.8,126.5,110.5
8,122.2,142.0,264.3,125.8,126.5
9,126.5,122.2,142.0,264.3,125.8
10,148.7,126.5,122.2,142.0,264.3
11,147.2,148.7,126.5,122.2,142.0
12,150.0,147.2,148.7,126.5,122.2
13,166.7,150.0,147.2,148.7,126.5
14,142.3,166.7,150.0,147.2,148.7
15,171.7,142.3,166.7,150.0,147.2
16,152.0,171.7,142.3,166.7,150.0
17,109.5,152.0,171.7,142.3,166.7
18,105.5,109.5,152.0,171.7,142.3
19,125.7,105.5,109.5,152.0,171.7
20,116.7,125.7,105.5,109.5,152.0
21,72.5,116.7,125.7,105.5,109.5
22,75.5,72.5,116.7,125.7,105.5
23,94.0,75.5,72.5,116.7,125.7
24,101.2,94.0,75.5,72.5,116.7
25,84.5,101.2,94.0,75.5,72.5
26,110.5,84.5,101.2,94.0,75.5
27,99.7,110.5,84.5,101.2,94.0
28,39.2,99.7,110.5,84.5,101.2
29,38.7,39.2,99.7,110.5,84.5
30,47.5,38.7,39.2,99.7,110.5
31,73.3,47.5,38.7,39.2,99.7
32,58.3,73.3,47.5,38.7,39.2
33,83.3,58.3,73.3,47.5,38.7
34,118.3,83.3,58.3,73.3,47.5
35,98.8,118.3,83.3,58.3,73.3
36,99.5,98.8,118.3,83.3,58.3
37,66.0,99.5,98.8,118.3,83.3
38,130.7,66.0,99.5,98.8,118.3
39,48.8,130.7,66.0,99.5,98.8
40,45.2,48.8,130.7,66.0,99.5
41,77.7,45.2,48.8,130.7,66.0
42,62.7,77.7,45.2,48.8,130.7
43,66.7,62.7,77.7,45.2,48.8
44,73.3,66.7,62.7,77.7,45.2
45,53.3,73.3,66.7,62.7,77.7
46,76.2,53.3,73.3,66.7,62.7
47,63.3,76.2,53.3,73.3,66.7
48,60.0,63.3,76.2,53.3,73.3
49,52.8,60.0,63.3,76.2,53.3
50,36.7,52.8,60.0,63.3,76.2
51,65.0,36.7,52.8,60.0,63.3
52,46.7,65.0,36.7,52.8,60.0
53,41.7,46.7,65.0,36.7,52.8
54,33.3,41.7,46.7,65.0,36.7
55,11.2,33.3,41.7,46.7,65.0
56,0.0,11.2,33.3,41.7,46.7
57,5.0,0.0,11.2,33.3,41.7
58,2.8,5.0,0.0,11.2,33.3
59,22.8,2.8,5.0,0.0,11.2
60,34.5,22.8,2.8,5.0,0.0
61,44.5,34.5,22.8,2.8,5.0
62,31.3,44.5,34.5,22.8,2.8
63,20.5,31.3,44.5,34.5,22.8
64,13.7,20.5,31.3,44.5,34.5
65,40.2,13.7,20.5,31.3,44.5
66,22.0,40.2,13.7,20.5,31.3
67,7.0,22.0,40.2,13.7,20.5
68,17.0,7.0,22.0,40.2,13.7
69,18.7,17.0,7.0,22.0,40.2
70,11.3,18.7,17.0,7.0,22.0
71,10.8,11.3,18.7,17.0,7.0
72,0.0,10.8,11.3,18.7,17.0
73,0.0,0.0,10.8,11.3,18.7
74,14.3,0.0,0.0,10.8,11.3
75,5.3,14.3,0.0,0.0,10.8
76,29.7,5.3,14.3,0.0,0.0
77,39.5,29.7,5.3,14.3,0.0
78,11.3,39.5,29.7,5.3,14.3
79,33.3,11.3,39.5,29.7,5.3
80,20.8,33.3,11.3,39.5,29.7
81,11.8,20.8,33.3,11.3,39.5
82,9.0,11.8,20.8,33.3,11.3
83,15.7,9.0,11.8,20.8,33.3
84,20.8,15.7,9.0,11.8,20.8
85,21.5,20.8,15.7,9.0,11.8
86,6.0,21.5,20.8,15.7,9.0
87,10.7,6.0,21.5,20.8,15.7
88,19.7,10.7,6.0,21.5,20.8
89,23.8,19.7,10.7,6.0,21.5
90,28.3,23.8,19.7,10.7,6.0
91,15.7,28.3,23.8,19.7,10.7
92,23.5,15.7,28.3,23.8,19.7
93,35.3,23.5,15.7,28.3,23.8
94,43.7,35.3,23.5,15.7,28.3
95,50.0,43.7,35.3,23.5,15.7
96,63.5,50.0,43.7,35.3,23.5
97,21.3,63.5,50.0,43.7,35.3
98,41.7,21.3,63.5,50.0,43.7
99,85.5,41.7,21.3,63.5,50.0
100,66.2,85.5,41.7,21.3,63.5
101,54.2,66.2,85.5,41.7,21.3
102,107.8,54.2,66.2,85.5,41.7
103,55.8,107.8,54.2,66.2,85.5
104,62.7,55.8,107.8,54.2,66.2
105,86.7,62.7,55.8,107.8,54.2
106,81.7,86.7,62.7,55.8,107.8
107,120.5,81.7,86.7,62.7,55.8
108,77.3,120.5,81.7,86.7,62.7
109,75.0,77.3,120.5,81.7,86.7
110,73.3,75.0,77.3,120.5,81.7
111,64.5,73.3,75.0,77.3,120.5
112,104.2,64.5,73.3,75.0,77.3
113,62.8,104.2,64.5,73.3,75.0
114,71.7,62.8,104.2,64.5,73.3
115,71.7,71.7,62.8,104.2,64.5
116,80.5,71.7,71.7,62.8,104.2
117,73.3,80.5,71.7,71.7,62.8
118,78.0,73.3,80.5,71.7,71.7
119,78.3,78.0,73.3,80.5,71.7
120,81.7,78.3,78.0,73.3,80.5
121,83.3,81.7,78.3,78.0,73.3
122,85.0,83.3,81.7,78.3,78.0
123,118.8,85.0,83.3,81.7,78.3
124,128.7,118.8,85.0,83.3,81.7
125,99.5,128.7,118.8,85.0,83.3
126,77.2,99.5,128.7,118.8,85.0
127,95.0,77.2,99.5,128.7,118.8
128,112.2,95.0,77.2,99.5,128.7
129,99.2,112.2,95.0,77.2,99.5
130,124.5,99.2,112.2,95.0,77.2
131,97.2,124.5,99.2,112.2,95.0
132,120.0,97.2,124.5,99.2,112.2
133,80.5,120.0,97.2,124.5,99.2
134,110.0,80.5,120.0,97.2,124.5
135,126.0,110.0,80.5,120.0,97.2
136,102.2,126.0,110.0,80.5,120.0
137,84.3,102.2,126.0,110.0,80.5
138,99.5,84.3,102.2,126.0,110.0
139,101.7,99.5,84.3,102.2,126.0
140,116.7,101.7,99.5,84.3,102.2
141,151.7,116.7,101.7,99.5,84.3
142,134.5,151.7,116.7,101.7,99.5
143,119.5,134.5,151.7,116.7,101.7
144,178.7,119.5,134.5,151.7,116.7
145,165.5,178.7,119.5,134.5,151.7
146,156.8,165.5,178.7,119.5,134.5
147,151.8,156.8,165.5,178.7,119.5
148,167.8,151.8,156.8,165.5,178.7
149,147.8,167.8,151.8,156.8,165.5
150,149.5,147.8,167.8,151.8,156.8
151,76.7,149.5,147.8,167.8,151.8
152,73.0,76.7,149.5,147.8,167.8
153,121.3,73.0,76.7,149.5,147.8
154,76.2,121.3,73.0,76.7,149.5
155,100.3,76.2,121.3,73.0,76.7
156,66.5,100.3,76.2,121.3,73.0
157,128.5,66.5,100.3,76.2,121.3
158,56.3,128.5,66.5,100.3,76.2
159,112.8,56.3,128.5,66.5,100.3
160,114.2,112.8,56.3,128.5,66.5
161,115.5,114.2,112.8,56.3,128.5
162,129.7,115.5,114.2,112.8,56.3
163,128.7,129.7,115.5,114.2,112.8
164,94.2,128.7,129.7,115.5,114.2
165,53.2,94.2,128.7,129.7,115.5
166,57.0,53.2,94.2,128.7,129.7
167,54.8,57.0,53.2,94.2,128.7
168,54.5,54.8,57.0,53.2,94.2
169,59.7,54.5,54.8,57.0,53.2
170,90.3,59.7,54.5,54.8,57.0
171,44.2,90.3,59.7,54.5,54.8
172,113.5,44.2,90.3,59.7,54.5
173,77.2,113.5,44.2,90.3,59.7
174,101.5,77.2,113.5,44.2,90.3
175,102.3,101.5,77.2,113.5,44.2
176,99.5,102.3,101.5,77.2,113.5
177,99.5,99.5,102.3,101.5,77.2
178,67.0,99.5,99.5,102.3,101.5
179,57.3,67.0,99.5,99.5,102.3
180,73.8,57.3,67.0,99.5,99.5
181,50.0,73.8,57.3,67.0,99.5
182,50.0,50.0,73.8,57.3,67.0
183,50.0,50.0,50.0,73.8,57.3
184,47.0,50.0,50.0,50.0,73.8
185,46.7,47.0,50.0,50.0,50.0
186,43.3,46.7,47.0,50.0,50.0
187,42.8,43.3,46.7,47.0,50.0
188,40.0,42.8,43.3,46.7,47.0
189,43.3,40.0,42.8,43.3,46.7
190,41.7,43.3,40.0,42.8,43.3
191,36.7,41.7,43.3,40.0,42.8
192,33.7,36.7,41.7,43.3,40.0
193,33.3,33.7,36.7,41.7,43.3
194,45.0,33.3,33.7,36.7,41.7
195,49.5,45.0,33.3,33.7,36.7
196,26.7,49.5,45.0,33.3,33.7
197,23.3,26.7,49.5,45.0,33.3
198,23.3,23.3,26.7,49.5,45.0
199,21.7,23.3,23.3,26.7,49.5
200,20.0,21.7,23.3,23.3,26.7
201,18.3,20.0,21.7,23.3,23.3
202,61.0,18.3,20.0,21.7,23.3
203,10.0,61.0,18.3,20.0,21.7
204,44.7,10.0,61.0,18.3,20.0
205,5.0,44.7,10.0,61.0,18.3
206,5.5,5.0,44.7,10.0,61.0
207,6.7,5.5,5.0,44.7,10.0
208,7.2,6.7,5.5,5.0,44.7
209,8.3,7.2,6.7,5.5,5.0
210,9.5,8.3,7.2,6.7,5.5
211,32.0,9.5,8.3,7.2,6.7
212,45.7,32.0,9.5,8.3,7.2
213,50.0,45.7,32.0,9.5,8.3
214,71.7,50.0,45.7,32.0,9.5
215,54.8,71.7,50.0,45.7,32.0
216,49.7,54.8,71.7,50.0,45.7
217,55.5,49.7,54.8,71.7,50.0
218,36.5,55.5,49.7,54.8,71.7
219,68.0,36.5,55.5,49.7,54.8
220,71.2,68.0,36.5,55.5,49.7
221,73.5,71.2,68.0,36.5,55.5
222,91.2,73.5,71.2,68.0,36.5
223,88.8,91.2,73.5,71.2,68.0
224,89.2,88.8,91.2,73.5,71.2
225,110.2,89.2,88.8,91.2,73.5
226,77.2,110.2,89.2,88.8,91.2
227,71.2,77.2,110.2,89.2,88.8
228,129.5,71.2,77.2,110.2,89.2
229,129.0,129.5,71.2,77.2,110.2
230,87.7,129.0,129.5,71.2,77.2
231,111.3,87.7,129.0,129.5,71.2
232,124.7,111.3,87.7,129.0,129.5
233,129.7,124.7,111.3,87.7,129.0
234,151.0,129.7,124.7,111.3,87.7
235,186.3,151.0,129.7,124.7,111.3
236,123.2,186.3,151.0,129.7,124.7
237,107.0,123.2,186.3,151.0,129.7
238,107.2,107.0,123.2,186.3,151.0
239,161.2,107.2,107.0,123.2,186.3
240,122.7,161.2,107.2,107.0,123.2
241,157.3,122.7,161.2,107.2,107.0
242,197.7,157.3,122.7,161.2,107.2
243,200.5,197.7,157.3,122.7,161.2
244,248.0,200.5,197.7,157.3,122.7
245,263.7,248.0,200.5,197.7,157.3
246,246.8,263.7,248.0,200.5,197.7
247,186.7,246.8,263.7,248.0,200.5
248,173.3,186.7,246.8,263.7,248.0
249,237.5,173.3,186.7,246.8,263.7
250,133.5,237.5,173.3,186.7,246.8
251,85.0,133.5,237.5,173.3,186.7
252,116.8,85.0,133.5,237.5,173.3
253,138.8,116.8,85.0,133.5,237.5
254,183.0,138.8,116.8,85.0,133.5
255,210.5,183.0,138.8,116.8,85.0
256,174.0,210.5,183.0,138.8,116.8
257,172.7,174.0,210.5,183.0,138.8
258,220.3,172.7,174.0,210.5,183.0
259,170.5,220.3,172.7,174.0,210.5
260,60.0,170.5,220.3,172.7,174.0
261,77.0,60.0,170.5,220.3,172.7
262,77.8,77.0,60.0,170.5,220.3
263,108.2,77.8,77.0,60.0,170.5
264,254.5,108.2,77.8,77.0,60.0
265,199.2,254.5,108.2,77.8,77.0
266,112.8,199.2,254.5,108.2,77.8
267,97.5,112.8,199.2,254.5,108.2
268,169.0,97.5,112.8,199.2,254.5
269,150.0,169.0,97.5,112.8,199.2
270,166.2,150.0,169.0,97.5,112.8
271,159.5,166.2,150.0,169.0,97.5
272,168.2,159.5,166.2,150.0,169.0
273,151.3,168.2,159.5,166.2,150.0
274,51.8,151.3,168.2,159.5,166.2
275,153.7,51.8,151.3,168.2,159.5
276,63.3,153.7,51.8,151.3,168.2
277,95.0,63.3,153.7,51.8,151.3
278,128.8,95.0,63.3,153.7,51.8
279,93.7,128.8,95.0,63.3,153.7
280,84.2,93.7,128.8,95.0,63.3
281,131.0,84.2,93.7,128.8,95.0
282,102.2,131.0,84.2,93.7,128.8
283,106.7,102.2,131.0,84.2,93.7
284,91.0,106.7,102.2,131.0,84.2
285,48.3,91.0,106.7,102.2,131.0
286,85.3,48.3,91.0,106.7,102.2
287,54.8,85.3,48.3,91.0,106.7
288,68.5,54.8,85.3,48.3,91.0
289,47.3,68.5,54.8,85.3,48.3
290,46.2,47.3,68.5,54.8,85.3
291,21.2,46.2,47.3,68.5,54.8
292,48.8,21.2,46.2,47.3,68.5
293,43.8,48.8,21.2,46.2,47.3
294,68.2,43.8,48.8,21.2,46.2
295,72.0,68.2,43.8,48.8,21.2
296,78.0,72.0,68.2,43.8,48.8
297,109.0,78.0,72.0,68.2,43.8
298,92.8,109.0,78.0,72.0,68.2
299,73.0,92.8,109.0,78.0,72.0
300,85.5,73.0,92.8,109.0,78.0
301,47.5,85.5,73.0,92.8,109.0
302,29.2,47.5,85.5,73.0,92.8
303,11.0,29.2,47.5,85.5,73.0
304,13.2,11.0,29.2,47.5,85.5
305,23.3,13.2,11.0,29.2,47.5
306,29.5,23.3,13.2,11.0,29.2
307,20.3,29.5,23.3,13.2,11.0
308,7.3,20.3,29.5,23.3,13.2
309,0.0,7.3,20.3,29.5,23.3
310,19.3,0.0,7.3,20.3,29.5
311,18.7,19.3,0.0,7.3,20.3
312,6.5,18.7,19.3,0.0,7.3
313,20.5,6.5,18.7,19.3,0.0
314,1.7,20.5,6.5,18.7,19.3
315,13.2,1.7,20.5,6.5,18.7
316,5.3,13.2,1.7,20.5,6.5
317,9.3,5.3,13.2,1.7,20.5
318,25.2,9.3,5.3,13.2,1.7
319,13.2,25.2,9.3,5.3,13.2
320,36.2,13.2,25.2,9.3,5.3
321,19.3,36.2,13.2,25.2,9.3
322,10.5,19.3,36.2,13.2,25.2
323,36.3,10.5,19.3,36.2,13.2
324,18.7,36.3,10.5,19.3,36.2
325,31.7,18.7,36.3,10.5,19.3
326,1.7,31.7,18.7,36.3,10.5
327,40.3,1.7,31.7,18.7,36.3
328,26.7,40.3,1.7,31.7,18.7
329,50.0,26.7,40.3,1.7,31.7
330,58.3,50.0,26.7,40.3,1.7
331,66.7,58.3,50.0,26.7,40.3
332,75.0,66.7,58.3,50.0,26.7
333,60.8,75.0,66.7,58.3,50.0
334,65.0,60.8,75.0,66.7,58.3
335,159.2,65.0,60.8,75.0,66.7
336,133.8,159.2,65.0,60.8,75.0
337,134.5,133.8,159.2,65.0,60.8
338,158.3,134.5,133.8,159.2,65.0
339,186.7,158.3,134.5,133.8,159.2
340,193.7,186.7,158.3,134.5,133.8
341,177.5,193.7,186.7,158.3,134.5
342,243.3,177.5,193.7,186.7,158.3
343,262.2,243.3,177.5,193.7,186.7
344,295.5,262.2,243.3,177.5,193.7
345,182.2,295.5,262.2,243.3,177.5
346,223.3,182.2,295.5,262.2,243.3
347,241.7,223.3,182.2,295.5,262.2
348,398.2,241.7,223.3,182.2,295.5
349,286.0,398.2,241.7,223.3,182.2
350,255.0,286.0,398.2,241.7,223.3
351,233.3,255.0,286.0,398.2,241.7
352,286.2,233.3,255.0,286.0,398.2
353,260.5,286.2,233.3,255.0,286.0
354,250.5,260.5,286.2,233.3,255.0
355,175.0,250.5,260.5,286.2,233.3
356,191.2,175.0,250.5,260.5,286.2
357,276.2,191.2,175.0,250.5,260.5
358,196.7,276.2,191.2,175.0,250.5
359,241.7,196.7,276.2,191.2,175.0
360,233.3,241.7,196.7,276.2,191.2
361,189.5,233.3,241.7,196.7,276.2
362,238.3,189.5,233.3,241.7,196.7
363,186.7,238.3,189.5,233.3,241.7
364,185.0,186.7,238.3,189.5,233.3
365,206.7,185.0,186.7,238.3,189.5
366,190.0,206.7,185.0,186.7,238.3
367,183.3,190.0,206.7,185.0,186.7
368,116.7,183.3,190.0,206.7,185.0
369,163.3,116.7,183.3,190.0,206.7
370,163.3,163.3,116.7,183.3,190.0
371,158.3,163.3,163.3,116.7,183.3
372,178.7,158.3,163.3,163.3,116.7
373,146.7,178.7,158.3,163.3,163.3
374,143.3,146.7,178.7,158.3,163.3
375,143.3,143.3,146.7,178.7,158.3
376,156.2,143.3,143.3,146.7,178.7
377,128.3,156.2,143.3,143.3,146.7
378,100.0,128.3,156.2,143.3,143.3
379,97.8,100.0,128.3,156.2,143.3
380,164.5,97.8,100.0,128.3,156.2
381,124.5,164.5,97.8,100.0,128.3
382,88.3,124.5,164.5,97.8,100.0
383,113.8,88.3,124.5,164.5,97.8
384,174.5,113.8,88.3,124.5,164.5
385,162.8,174.5,113.8,88.3,124.5
386,122.5,162.8,174.5,113.8,88.3
387,110.0,122.5,162.8,174.5,113.8
388,85.0,110.0,122.5,162.8,174.5
389,45.5,85.0,110.0,122.5,162.8
390,111.7,45.5,85.0,110.0,122.5
391,58.7,111.7,45.5,85.0,110.0
392,90.0,58.7,111.7,45.5,85.0
393,62.5,90.0,58.7,111.7,45.5
394,61.7,62.5,90.0,58.7,111.7
395,68.3,61.7,62.5,90.0,58.7
396,90.5,68.3,61.7,62.5,90.0
397,63.3,90.5,68.3,61.7,62.5
398,61.7,63.3,90.5,68.3,61.7
399,73.3,61.7,63.3,90.5,68.3
400,56.7,73.3,61.7,63.3,90.5
401,38.7,56.7,73.3,61.7,63.3
402,52.5,38.7,56.7,73.3,61.7
403,50.0,52.5,38.7,56.7,73.3
404,46.7,50.0,52.5,38.7,56.7
405,64.5,46.7,50.0,52.5,38.7
406,44.5,64.5,46.7,50.0,52.5
407,47.2,44.5,64.5,46.7,50.0
408,38.3,47.2,44.5,64.5,46.7
409,42.0,38.3,47.2,44.5,64.5
410,53.7,42.0,38.3,47.2,44.5
411,33.3,53.7,42.0,38.3,47.2
412,30.0,33.3,53.7,42.0,38.3
413,13.3,30.0,33.3,53.7,42.0
414,25.0,13.3,30.0,33.3,53.7
415,17.5,25.0,13.3,30.0,33.3
416,21.7,17.5,25.0,13.3,30.0
417,13.3,21.7,17.5,25.0,13.3
418,18.3,13.3,21.7,17.5,25.0
419,16.7,18.3,13.3,21.7,17.5
420,10.0,16.7,18.3,13.3,21.7
421,15.0,10.0,16.7,18.3,13.3
422,10.0,15.0,10.0,16.7,18.3
423,16.7,10.0,15.0,10.0,16.7
424,16.7,16.7,10.0,15.0,10.0
425,13.3,16.7,16.7,10.0,15.0
426,28.3,13.3,16.7,16.7,10.0
427,23.3,28.3,13.3,16.7,16.7
428,10.8,23.3,28.3,13.3,16.7
429,13.3,10.8,23.3,28.3,13.3
430,15.0,13.3,10.8,23.3,28.3
431,26.2,15.0,13.3,10.8,23.3
432,34.5,26.2,15.0,13.3,10.8
433,43.8,34.5,26.2,15.0,13.3
434,60.5,43.8,34.5,26.2,15.0
435,33.3,60.5,43.8,34.5,26.2
436,53.3,33.3,60.5,43.8,34.5
437,78.7,53.3,33.3,60.5,43.8
438,67.0,78.7,53.3,33.3,60.5
439,45.5,67.0,78.7,53.3,33.3
440,62.0,45.5,67.0,78.7,53.3
441,79.3,62.0,45.5,67.0,78.7
442,79.5,79.3,62.0,45.5,67.0
443,142.3,79.5,79.3,62.0,45.5
444,153.8,142.3,79.5,79.3,62.0
445,98.3,153.8,142.3,79.5,79.3
446,138.3,98.3,153.8,142.3,79.5
447,149.5,138.3,98.3,153.8,142.3
448,185.8,149.5,138.3,98.3,153.8
449,187.2,185.8,149.5,138.3,98.3
450,193.3,187.2,185.8,149.5,138.3
451,187.8,193.3,187.2,185.8,149.5
452,224.5,187.8,193.3,187.2,185.8
453,176.7,224.5,187.8,193.3,187.2
454,145.7,176.7,224.5,187.8,193.3
455,212.0,145.7,176.7,224.5,187.8
456,224.7,212.0,145.7,176.7,224.5
457,165.3,224.7,212.0,145.7,176.7
458,213.3,165.3,224.7,212.0,145.7
459,228.7,213.3,165.3,224.7,212.0
460,262.2,228.7,213.3,165.3,224.7
461,261.7,262.2,228.7,213.3,165.3
462,235.8,261.7,262.2,228.7,213.3
463,290.0,235.8,261.7,262.2,228.7
464,230.0,290.0,235.8,261.7,262.2
465,215.3,230.0,290.0,235.8,261.7
466,238.8,215.3,230.0,290.0,235.8
467,180.8,238.8,215.3,230.0,290.0
468,188.3,180.8,238.8,215.3,230.0
469,257.0,188.3,180.8,238.8,215.3
470,235.8,257.0,188.3,180.8,238.8
471,226.7,235.8,257.0,188.3,180.8
472,235.0,226.7,235.8,257.0,188.3
473,236.7,235.0,226.7,235.8,257.0
474,157.8,236.7,235.0,226.7,235.8
475,215.8,157.8,236.7,235.0,226.7
476,190.0,215.8,157.8,236.7,235.0
477,208.8,190.0,215.8,157.8,236.7
478,200.0,208.8,190.0,215.8,157.8
479,205.5,200.0,208.8,190.0,215.8
480,205.8,205.5,200.0,208.8,190.0
481,200.0,205.8,205.5,200.0,208.8
482,195.0,200.0,205.8,205.5,200.0
483,171.7,195.0,200.0,205.8,205.5
484,186.7,171.7,195.0,200.0,205.8
485,149.5,186.7,171.7,195.0,200.0
486,223.3,149.5,186.7,171.7,195.0
487,225.8,223.3,149.5,186.7,171.7
488,171.7,225.8,223.3,149.5,186.7
489,212.5,171.7,225.8,223.3,149.5
490,160.5,212.5,171.7,225.8,223.3
491,156.7,160.5,212.5,171.7,225.8
492,155.0,156.7,160.5,212.5,171.7
493,151.7,155.0,156.7,160.5,212.5
494,115.5,151.7,155.0,156.7,160.5
495,145.0,115.5,151.7,155.0,156.7
496,128.8,145.0,115.5,151.7,155.0
497,140.5,128.8,145.0,115.5,151.7
498,136.7,140.5,128.8,145.0,115.5
499,123.3,136.7,140.5,128.8,145.0
500,121.2,123.3,136.7,140.5,128.8
501,103.3,121.2,123.3,136.7,140.5
502,123.3,103.3,121.2,123.3,136.7
503,128.7,123.3,103.3,121.2,123.3
504,122.8,128.7,123.3,103.3,121.2
505,107.0,122.8,128.7,123.3,103.3
506,118.3,107.0,122.8,128.7,123.3
507,71.7,118.3,107.0,122.8,128.7
508,110.8,71.7,118.3,107.0,122.8
509,102.8,110.8,71.7,118.3,107.0
510,111.7,102.8,110.8,71.7,118.3
511,110.0,111.7,102.8,110.8,71.7
512,96.7,110.0,111.7,102.8,110.8
513,106.7,96.7,110.0,111.7,102.8
514,105.0,106.7,96.7,110.0,111.7
515,126.2,105.0,106.7,96.7,110.0
516,103.3,126.2,105.0,106.7,96.7
517,101.7,103.3,126.2,105.0,106.7
518,76.3,101.7,103.3,126.2,105.0
519,100.0,76.3,101.7,103.3,126.2
520,98.3,100.0,76.3,101.7,103.3
521,98.3,98.3,100.0,76.3,101.7
522,95.0,98.3,98.3,100.0,76.3
523,93.3,95.0,98.3,98.3,100.0
524,93.3,93.3,95.0,98.3,98.3
525,91.7,93.3,93.3,95.0,98.3
526,92.5,91.7,93.3,93.3,95.0
527,88.3,92.5,91.7,93.3,93.3
528,87.2,88.3,92.5,91.7,93.3
529,85.0,87.2,88.3,92.5,91.7
530,83.3,85.0,87.2,88.3,92.5
531,48.8,83.3,85.0,87.2,88.3
532,40.0,48.8,83.3,85.0,87.2
533,78.3,40.0,48.8,83.3,85.0
